,1,3,5,7,9,11,13,15,17,19
0,19473391.64013672,9914291.928222656,4688275.642089844,2020600.7426757812,771982.6284179688,250296.51025390625,63849.28662109375,10997.91845703125,3565.0,891.30419921875,112.65478515625
0,7566737.3447265625,3880971.5244140625,1850357.1181640625,804814.9072265625,310652.2978515625,101889.3212890625,26327.6337890625,4590.5166015625,1488.0,361.8759765625,52.2431640625
0,-8959815.823242188,-4555531.6279296875,-2151015.5498046875,-925478.4326171875,-352829.9951171875,-114022.8310546875,-28857.4091796875,-4780.0732421875,-1408.0,-206.0419921875,100.5908203125
0,-1423075.4018554688,-746813.6020507812,-364871.33740234375,-162870.64697265625,-64588.00732421875,-21739.45751953125,-5685.22412109375,-876.84619140625,-154.0,130.19970703125,275.37451171875
0,1274518.9077148438,647579.0415039062,305556.91357421875,131411.28173828125,50152.09130859375,16331.10009765625,4306.00341796875,929.05908203125,466.0,311.21240234375,312.72119140625
0,909527.9721679688,451315.46337890625,207295.47412109375,86444.21533203125,31837.83544921875,9952.79541015625,2515.74365234375,543.89111328125,293.0,216.88623046875,221.18994140625
0,-30784483.19580078,-15681556.386230469,-7420009.885253906,-3200039.5288085938,-1223339.2153320312,-396701.78076171875,-100952.37353515625,-17023.32958984375,-5216.0,-979.54736328125,196.63720703125
0,13010012.8203125,6582389.28125,3090927.0234375,1321672.796875,500469.3515625,160648.4375,40535.8046875,6912.203125,2239.0,574.3828125,140.09375
0,-17861372.25732422,-9108143.840332031,-4314678.770996094,-1863158.2133789062,-713224.2690429688,-231568.10205078125,-58925.56396484375,-9823.31884765625,-2901.0,-418.46826171875,225.32373046875
0,27615028.768554688,14116516.540039062,6705581.4443359375,2904599.5908203125,1115962.4638671875,364074.6728515625,93462.7021484375,16108.6611328125,5122.0,1123.0341796875,-129.5693359375
0,-9762730.346191406,-4963969.935058594,-2343873.9106445312,-1008410.8588867188,-384417.67822265625,-124233.45458984375,-31471.83642578125,-5260.90966796875,-1591.0,-279.57275390625,80.58837890625
0,-4514912.5048828125,-2235437.1142578125,-1023317.7001953125,-424431.1689453125,-154808.5517578125,-47342.0048828125,-11106.8095703125,-1558.3720703125,-308.0,135.7763671875,368.9794921875
0,-12929529.638183594,-6584130.836425781,-3114262.9135742188,-1342517.9868164062,-512939.36083984375,-166170.40283203125,-42162.91748046875,-6978.02197265625,-2016.0,-212.52099609375,416.21826171875
0,10718691.651855469,5515393.361816406,2639250.8100585938,1152762.1450195312,447133.45263671875,147529.13134765625,38451.76708984375,6868.50830078125,2340.0,700.94091796875,295.46337890625
0,-16135265.603027344,-8203244.059082031,-3872897.6127929688,-1666007.3188476562,-634990.9194335938,-205156.71923828125,-51928.96044921875,-8625.69775390625,-2553.0,-370.17333984375,283.30810546875
0,-13966766.009277344,-7119141.098144531,-3371163.7846679688,-1455277.0610351562,-556988.6069335938,-180869.66455078125,-46085.41357421875,-7749.84619140625,-2342.0,-398.14208984375,130.45654296875
0,5406621.905761719,2742283.1196289062,1291170.6342773438,553714.3168945312,210353.47216796875,67791.71728515625,17221.35693359375,3002.25830078125,1008.0,280.22607421875,29.87744140625
0,6831585.580566406,3428831.8784179688,1595810.4848632812,675627.8764648438,253039.34228515625,80277.60888671875,20065.96533203125,3494.88818359375,1235.0,441.16650390625,208.52685546875
0,-3507901.8505859375,-1793522.8935546875,-851893.6162109375,-368816.2060546875,-141490.2255859375,-45963.1123046875,-11609.6787109375,-1792.6123046875,-387.0,144.0244140625,396.2939453125
0,-25819775.973632812,-13167128.188476562,-6238520.1298828125,-2694793.6728515625,-1032186.8173828125,-335504.1884765625,-85614.5361328125,-14467.2353515625,-4425.0,-819.7861328125,131.6865234375
0,5297076.611328125,2703253.61328125,1281652.615234375,553980.7890625,212349.056640625,69124.33984375,17737.810546875,3099.140625,1024.0,266.751953125,24.06640625
0,-740138.6528320312,-369830.03857421875,-171165.32666015625,-71931.16552734375,-26638.76611328125,-8265.77685546875,-1926.65869140625,-208.56005859375,18.0,90.30810546875,82.79736328125
0,-12346312.515136719,-6309725.031738281,-2996386.4584960938,-1297465.4282226562,-498214.51123046875,-162323.84033203125,-41466.23583984375,-6932.83056640625,-2034.0,-258.19482421875,266.03857421875
0,-4957929.029296875,-2513794.255859375,-1183010.810546875,-506941.880859375,-192294.404296875,-61720.068359375,-15430.310546875,-2425.318359375,-603.0,62.970703125,313.869140625
0,46906.416015625,26717.5625,14099.021484375,6805.12109375,2974.939453125,1197.0546875,498.294921875,278.48828125,239.0,213.212890625,146.546875
0,-4267141.48046875,-2171454.26953125,-1026267.43359375,-441995.09765625,-168675.88671875,-54547.92578125,-13783.83984375,-2233.75390625,-609.0,-24.29296875,138.41796875
0,4943825.918457031,2511643.5463867188,1184947.3891601562,509423.53271484375,194130.62548828125,62812.75341796875,16044.81494140625,2835.39599609375,981.0,312.14501953125,114.64794921875
0,9032448.338867188,4593224.3916015625,2169458.6396484375,933909.9423828125,356413.5341796875,115466.7744140625,29469.8974609375,5119.7626953125,1694.0,454.6044921875,47.7822265625
